"Name of the Project","Duration of the Project","Sector"
"Grant to UN Office for the Coordination of Humanitarian Affairs (UNOCHA) for Humanitarian Coordination","2011-01-01 - 2011-12-31","Disaster Prevention and Preparedness"
"CDC: Influenza Research Activities","","Basic Health"
"Initial Contribution Towards UNHCRs South Asia Annual Budget Activities  Nepal","","Emergency Response"
"Anti-Trafficking [through American Bar Association Fund for Justice and Education ]","2011-09-01 - 2012-09-01","Government and Civil Society"
"U.S. Forest Service Interagency Agreement","2007-04-01 - 2018-04-01","Disaster Prevention and Preparedness"
"Wat/san, livelihood assistance, and infrastructure development in Tibetan refugee settlements in Nepal","","Emergency Response"
"CDC: Measles & Rubella Initiative","","Basic Health"
"Anti-Trafficking [through The Asia Foundation]","2011-08-01 - 2012-08-01","Government and Civil Society"
"TB diagnosis and treatment for non-resettlement Bhutanese refugees","","Emergency Response"
"Restoration of Chaugara Sattal at Changu Narayan","2011-09-30 - 2012-09-29","General Environmental Protection"
"USAID/Nepal Flood Recovery program","2008-05-20 - 2012-08-31","Emergency Response"
"Global Emerging Infections Surveillance and Response Program: Detection of Antimicrobial Resistance Genes in DNA from Mycobacterium tuberculosis Isolates by Rapid Molecular Techniques","","Basic Health"
"Rhinoceros & Tiger Conservation","2011-08-19 - 2013-08-31","General Environmental Protection"
"USAID/Nepal Flood Recovery program","2008-05-20 - 2012-08-31","Transport and Storage"
"Rhinoceros & Tiger Conservation","2011-09-09 - 2013-08-31","General Environmental Protection"
"Allotment to Embassy Kathmandu for the Tibetan organization Himalayan Roots to Fruits","","Emergency Response"
"Administration and Oversight (Private Sector)","","Business and Other Services"
"Global Health Technical Assistance Project: GH Tech","2006-06-23 - 2011-06-22","HIV/AIDS"
"Administration and Oversight (Agriculture)","","Agriculture"
"OE TRUSFUNDS COR","","Other Multisector"
"Program Support","","Maternal and Child Health, Family Planning"
"CSI- Associate Award under MEAS Closing the Gender Gap in Agriculture","2010-09-15 - 2016-03-15","Agriculture"
"Program Support","","HIV/AIDS"
"HIV/AIDS Program","","HIV/AIDS"
"Rule Of Law Program","","Government and Civil Society"
"Mitigating Conflict through Improved Governance and Incomes","","Government and Civil Society"
"Administration and Oversight (Civil Society)","","Government and Civil Society"
"Trade and Investment Capacity","","Trade Policy and Regulations"
"Integrated Managing for Results II (IMR2)","2004-09-22 - 2010-09-30","Conflict, Peace, and Security"
"USAID/Nepal Flood Recovery program","2008-05-20 - 2012-08-31","Conflict, Peace, and Security"
"Polio Eradication through UNICEF.","","Basic Health"
"Medical Screening, Nepal (MH.0044)","","Emergency Response"
"Overseas Processing Entities, Nepal (OP.0003)","","Emergency Response"
"Commodity Cost of USAID Title II Food Aid for Refugee Feeding Program. This is an emergency-funded program.","","Emergency Response"
"Emergency Refugee Assistance: Protracted Relief & Rehabilitation Operations 10058.6 - one month rations for 81,000 Bhutanese refugees","","Emergency Response"
"Education for Income Generation","2008-01-03 - 2013-01-03","Other Social Infrastructure and Services"
"Medical Screening, Nepal (MH.0044), initial funding for FY 2010","","Emergency Response"
"Overseas Processing Entities, Nepal (OP.0003), initial funding for FY 2010","","Emergency Response"
"Ocean Freight of USAID Title II Food Aid for Refugee Feeding Program. This is an emergency-funded program.","","Emergency Response"
"USAID/Liberia Program Design and Learning - Food Security Strategy","2010-09-30 - 2011-02-18","Agriculture"
"Department of Energy, Office of Global Nuclear Material Threat Reduction (NA-212)","","Conflict, Peace, and Security"
"Commodity Cost of USAID Title II Food Aid for Djibouti Prepositioning of Food Aid","","Emergency Response"
"Maternal and Child Health Integrated Program (MCHIP)","2008-09-30 - 2014-09-29","Maternal and Child Health, Family Planning"
"FY 2010 ASHA Award - American Leprosy Missions","2010-09-13 - 2013-09-30","Basic Health"
"Third Tranche Contribution Towards UNHCR's South Asia Program Budget Activities - Kathmandu Reception Center","","Emergency Response"
"Humanitarian assistance for Tibetan refugees in Nepal","","Emergency Response"
"Harmonization of Protocols for Tuberculosis Diagnosis and Treatment of the Bhutanese Refugees in Nepal","","Emergency Response"
"Global Measles Immunization Initiatives through the World Health Organization.","","Basic Health"
"U.S. Environmental Protection Agency, Office of International and Tribal Affairs (OITA): International Capacity Building - Scaling-up/Smoke Alleviating Technology in Nepal","","General Environmental Protection"
"Third Tranche Contribution Towards UNHCR's New or Additional Mandate-Related (NAM) Activities - Bhutanese Refugee Education Project","","Emergency Response"
"Global Health Technical Assistance Project: GH Tech","2006-06-23 - 2011-06-22","Program Design and Learning"
"DOD HIV/AIDS Prevention Program (DHAPP) - Country Programs","","HIV/AIDS"
"Administration and Oversight (Trade)","","Trade Policy and Regulations"
"Restoration of a 16th-Century Monastery in the Sherpa Village of Pangboche","","General Environmental Protection"
"Assistance to Bhutanese refugees in Nepal","","Emergency Response"
"Rhinceros & Tiger Conservation","","General Environmental Protection"
"Administration and Oversight (Macro Economics)","","Government and Civil Society"
"Inland Freight Cost of USAID Title II Food Aid for Refugee Feeding Program. This is an emergency-funded program.","","Emergency Response"
"Asian Elephant Conservation","","General Environmental Protection"
"Global Health Fellows Program","2006-07-03 - 2012-09-30","HIV/AIDS"
"Global Health Fellows Program","2006-07-03 - 2012-09-30","Basic Health"
"Ocean Freight of USAID Title II Food Aid for Djibouti Prepositioning of Food Aid","","Emergency Response"
"Global Health Technical Assistance Project: GH Tech","2006-06-23 - 2011-06-22","Maternal and Child Health, Family Planning"
"Integrated Managing for Results II (IMR2)","2004-09-22 - 2010-09-30","Other Multisector"
"Global Health Fellows Program","2006-07-03 - 2012-09-30","Maternal and Child Health, Family Planning"
"ITSH Freight Cost of USAID Title II Food Aid for Refugee Feeding Program. This is an emergency-funded program.","","Emergency Response"
"U.S. Department of Justice - Unspecified Training/Conference","","Government and Civil Society"
"Taft Fund request for Human Rights Organization of Nepal (HURON)","","Emergency Response"
"Program Support (Private Sector)","","Business and Other Services"
"Inland Freight Cost of USAID Title II Food Aid for Djibouti Prepositioning of Food Aid","","Emergency Response"
"ITSH Freight Cost of USAID Title II Food Aid for Djibouti Prepositioning of Food Aid","","Emergency Response"
"Program Support (Infrastructure)","","Transport and Storage"
"REDUCED FERTILITY AND PROTECTED HEALTH OF NEPALESE FAMILIES","","Maternal and Child Health, Family Planning"
"Administration and Oversight (Protection)","","Emergency Response"
"International Disaster Assistance","","Emergency Response"
"INCREASED PRIVATE-SECTOR PARTICIPATION & INVESTMENT IN ENV","","Business and Other Services"
"REDUCED FERTILITY AND PROTECTED HEALTH OF NEPALESE FAMILIES","","HIV/AIDS"
"Causes and Consequences of Conflict Addressed","","Conflict, Peace, and Security"
"Provide Overseas Processing Services for Refugees","","Emergency Response"
"International Narcotics Control and Law Enforcement: Anti-Crime Programs","","Government and Civil Society"
"Provide Overseas Processing Services to Refugees","","Emergency Response"
"Human Rights","","Government and Civil Society"
"Polio Eradication. Oral Polio Vaccine purchase through UNICEF.","","Basic Health"
"Human Rights: Providing Comprehensive Forensic Assistance to Build Local Capacity","","Government and Civil Society"
"Restoration of Patan Royal Palace","","General Environmental Protection"
"Provide Overseas Medical Services for Refugees","","Emergency Response"
"Administrative costs","1998-10-01 - 2013-11-30","Operating Expenses"
"Human Rights: Strengthening the HR Commission: Phase II","","Government and Civil Society"
"Anti-Trafficking in Persons Project [through American Bar Association]","","Government and Civil Society"
"Rule of Law: Building Peace in Nepal","","Government and Civil Society"
"Fiscal policy","","Government and Civil Society"
"Education for Income Generation","2008-01-03 - 2013-01-03","Government and Civil Society"
"Anti-Trafficking in Persons Project [through Asia Foundation]","","Government and Civil Society"
"Initial Contribution Towards UNHCR's South Asia Annual Budget Activities -- Kathmandu Reception Center","","Emergency Response"
"USAID |DELIVER","2006-09-29 - 2018-09-26","Maternal and Child Health, Family Planning"
"Polio Eradication through the World Health Organization.","","Basic Health"
"Support to the Bhutanese Refugee Education Program","","Emergency Response"
"Administrative costs","1998-10-01 - 2013-11-30","Administration and Oversight"
"USAID |DELIVER","2006-09-29 - 2018-09-26","HIV/AIDS"
"Preservation of 17th-Century Water Architecture in the Patan Royal Palace","","General Environmental Protection"
"INCREASE PROD. & SALES OF HIGH VALUE AGR.+FOREST PRODUCTS","","Agriculture"
"Elections and Political Processes","","Government and Civil Society"
"Program Design and Learning (Environment)","","General Environmental Protection"
"Taft Refugee Fund - Sambad Nepal - To raise awareness about the long-term situation of Tibetan refugees living in Nepal","","Emergency Response"
"Taft Refugee Fund - Roots & Shoots Nepal's Margaret Alexander Memorial Project to Promote Environmental Awareness Among Young Bhutanese Refugees in Eastern Nepal","","Emergency Response"
"PRIME 3.2 Web Services Support (AT&T)","2006-05-09 - 2019-03-31","Operating Expenses"
"Emergency Refugee Assistance: One month's food needs for 108,000 Bhutanese Refugees in Nepal","","Emergency Response"
"One month's food rations for 108,000 Bhutanese Refugees in Nepal","","Emergency Response"
"Funding for Kathmandu Medicals, FY 2008, IOM Project Code 171-CUS","","Emergency Response"
"Funding for Overseas Processing Entities Kathmandu, FY 2008, IOM Porject Code 171-Overseas Processing Entities","","Emergency Response"
"Education Program for Bhutanese Refugees in Nepal","","Emergency Response"
"Civil Society: Pathways to Peace","","Conflict, Peace, and Security"
"Good Governance: Promoting Informed Development of Nepal's New Constitution","","Government and Civil Society"
"Access to Clinical and Community Maternal, Neonatal, and Women's Health Services (ACCESS)","2004-07-27 - 2009-07-26","Maternal and Child Health, Family Planning"
"ITSH Freight Cost of USAID Title II Food Aid for Indirect Support Cost","","Emergency Response"
"Good Governance: Building Peace in Nepal","","Conflict, Peace, and Security"
"Addressing Child Marriage in Nepal through Behavior Change Communication and Social Mobilization","2008-09-30 - 2011-09-29","Other Social Infrastructure and Services"
"Initial Contribution in Support of UNHCR FY08 South Asia Programs - Kathmandu Reception Ctr","","Emergency Response"
"Education for Income Generation","2008-01-03 - 2013-01-03","HIV/AIDS"
"TB Testing and Treatment Program for Bhutanese Refugees","","Emergency Response"
"Anti-Trafficking in Persons Project [through Pourakhi-Nepal]","","Government and Civil Society"
"Polio Eradication. Technical assistance grants to UNICEF.","","Basic Health"
"Rhinoceros/Tiger Conservation","","General Environmental Protection"
"Restoration of Ancient Buddhist Chhortens in Mustang","","General Environmental Protection"
"Ambassador's Fund - Start-up funding for a community center and cafe for Tibetan youth in Kathmandu","","Emergency Response"
"Program Support (Political Competition)","","Government and Civil Society"
"Access to economic opportunities for the poor expanded","","Other Social Infrastructure and Services"
"INCREASED WOMEN'S EMPOWERMENT","","Government and Civil Society"
"Funding for startup, Overseas Processing Entities Kathmandu and Medical Screening in Nepal","","Emergency Response"
"ITSH Freight Cost of USAID Title II Food Aid for Drought Affected","","Emergency Response"
"Commodity Cost of USAID Title II Food Aid for Drought Affected","","Emergency Response"
"Brighter Futures Program Phase II: Combating Child Labor through Education in Nepal","","Other Social Infrastructure and Services"
"Anti-Trafficking in Persons Project [through The Daywalka Foundation]","","Government and Civil Society"
"Ocean Freight of USAID Title II Food Aid for Drought Affected","","Emergency Response"
"Initial Contribution towards UNHCR's South Asia Annual Budget activities - Kathmandu Reception Center","","Emergency Response"
"WID: Gender Considerations in USAID's Development, Humanita","","Government and Civil Society"
"Anti-Trafficking in Persons Project [through Save the Children]","","Government and Civil Society"
"USAID |DELIVER","2006-09-29 - 2018-09-26","Basic Health"
"Technical Assistance in the Energy and Environment Sectors (Energy II) IQC - Task Order 2 IISTO","2003-09-29 - 2015-10-30","Business and Other Services"
"WHO Umbrella Grant","1999-09-24 - 2010-09-30","Basic Health"
"Health and Immunization Response Support (UNICEF Polio, EPI Grant)","1996-09-26 - 2023-12-31","Maternal and Child Health, Family Planning"
"Database on Wildlife Crime","","General Environmental Protection"
"Leadership, Management and Sustainability (LMS) Program","2005-08-08 - 2010-08-07","HIV/AIDS"
"Anti-Trafficking in Persons Project [through Nepal Institute of Developmental Studies]","","Government and Civil Society"
"Leadership, Management and Sustainability (LMS) Program","2005-08-08 - 2010-08-07","Maternal and Child Health, Family Planning"
"Combating Child Labor Through Education - Timebound","","Other Social Infrastructure and Services"
"One month of Bhutanese refugee feeding needs","","Emergency Response"
"Local NGO Capacity Enhanced","","Government and Civil Society"
"ASHA/STRENGTHEN OSI'S THAT DEMO U.S. IDEAS & PRACTICES","","Basic Health"
"Grant Solitication and Management (GSM)","2004-09-30 - 2013-06-30","Maternal and Child Health, Family Planning"
"WHO: Polio & Immunizations (Health and Emergency Response Support)","1996-09-18 - 2023-09-30","Basic Health"
"Build Capacity of Critical Institutions","","Maternal and Child Health, Family Planning"
"Initial Contribution to UNHCR 2006 Annual Budget for Tibetan Reception Center in Nepal","","Emergency Response"
"Health and Immunization Response Support (UNICEF Polio, EPI Grant)","1996-09-26 - 2023-12-31","HIV/AIDS"
"Leadership, Management and Sustainability (LMS) Program","2005-08-08 - 2010-08-07","Other Social Infrastructure and Services"
"REDUCED FERTILITY AND PROTECTED HEALTH OF NEPALESE FAMILIES","","Basic Health"
"Global Health Fellows Program","2006-07-03 - 2012-09-30","Other Social Infrastructure and Services"
"Policy Dialogue and Implementation Project (POI) - Health Policy Initiative IQC Task Order 1","2005-09-30 - 2010-09-29","HIV/AIDS"
"Health program","","Health, General"
"2006 Funding to Support Resettlement Activities in Nepal","","Emergency Response"
"Rehabilitation of Nag Bahal Hiti","","General Environmental Protection"
"Rhino Conservation in Nepal","","General Environmental Protection"
"Strngthn Govern and Protect Human Rights","","Government and Civil Society"
"Build Capacity of Critical Institutions","","Other Social Infrastructure and Services"
"Restoration of Machali Pati","","General Environmental Protection"
"Enhance Stability and Security","","HIV/AIDS"
"USAID |DELIVER","2006-09-29 - 2018-09-26","Other Social Infrastructure and Services"
"Combating Exploitive Child Labor through Education","","Other Social Infrastructure and Services"
"Anti-Terrorism Assistance: Anti-terrorism Assistance Training","","Government and Civil Society"
"Implementing AIDS Prevention and Care (IMPACT) Project","1995-01-01 - 2007-09-29","HIV/AIDS"
"Incr'd Use Of Key Child Health And Nutrition Interventions","","Basic Health"
"Incr'd Use Of Vol. Practices That Contrib. To Reduced Fert.","","Maternal and Child Health, Family Planning"
"U.S. Peace Corps In-Country Funding","","Other Multisector"
"Anti-Trafficking in Persons Project [through U.S. Government - U.S. Agency for International Development]","","Government and Civil Society"
"Anti-Trafficking in Persons Project [through International Organisation for Migration]","","Government and Civil Society"
"Orientation Visit - Financial Information Management System","","Banking and Financial Services"
"PD&L Other Vulnerable Children","","Other Social Infrastructure and Services"
"Administrative costs","2001-09-30 - 2007-09-30","Operating Expenses"
"Restoration of the Mahadev Temples, Durbar Square, Kathmandu","","General Environmental Protection"
"OTI/Operations Support","","Conflict, Peace, and Security"
"OFDA/Operations Support","","Emergency Response"
"Global Measles Immunization Initiatives through the United Nations Foundation.","","Basic Health"
"Nepal/Ag Statistics","","Agriculture"
"A Monitoring System to Evaluate the Ecological Outcomes of the Terai Arc Landscape","","General Environmental Protection"
"Developing an Integrated Patrolling and Biodiversity Monitoring System for the Lowland Protected Areas of Nepal","","General Environmental Protection"
"Assessment of status, population structure, and habitat use of Asian elephant and capacity building of reserve staff in Pars Wildlife Reserve, Nepal","","General Environmental Protection"
"Restoration of the Kageswar Mahadev Temple","","General Environmental Protection"
"Scholarships for 240 Bhutanese refugee students","","Emergency Response"
"Evaluating the effectiveness of Barandabhar Forest Corridor for Rhino in Nepal","","General Environmental Protection"
"MEPI Initiatives","","Government and Civil Society"
"This contribution to WFP will support its core activities (food, health and relief, and social services) for Bhutanese Refugees in Nepal","","Emergency Response"
"PPA Cocoa /ACDI Voca","","Agriculture"
"Incr'd Use Of Interv. To Reduce Threat Of Infect. Diseases","","Basic Health"
"Implementing AIDS Prevention and Care (IMPACT) Project","1995-01-01 - 2007-09-29","Maternal and Child Health, Family Planning"
"Capacity Building in Wildlife Trade Monitoring in Terai Arc Landscape, Nepal","","General Environmental Protection"
"Habitat Management in the Extension Area of Royal Suklaphanta Wildlife Reserve, Nepal","","General Environmental Protection"
"Restoration of Kalo Bhairav","","General Environmental Protection"
"Development Assistance - Population Planning","","Maternal and Child Health, Family Planning"
"Development Assistance - Development Assistance","","Other Multisector"
"EAPI/International Marine Life","","Agriculture"
"Economic Support Fund","","Other Multisector"
"PVC/Child Survival (938-0500)","","Basic Health"
"FFP/CRITICAL FOOD NEEDS OF TARGETED GROUPS MET","","Developmental Food Aid/Food Security Assistance"
"Rhinoceros & Tiger Conservation Fund:  Establishment of a viable population (100) of Greater One-horned Rhino in Royal Bardia Natl Park","","General Environmental Protection"
"Asian Elephant Conservation Fund:  Restoration of Transboundary Corridors of Wild Elephants in the Western Terai Region of Terai Arc, Nepal","","General Environmental Protection"
"Rhinoceros & Tiger Conservation Fund:  Establishment of a Community Based Tiger Monitoring Network throughout the Terai of Nepal","","General Environmental Protection"
"Development Assistance - Education & Human Resources Development","","Education, Level Unspecified"
"Development Assistance - Private Sector, Environment & Energy","","Business and Other Services"
"Desk Study - Groundwater Remediation","","Water Supply and Sanitation"
"INCREASE PRIVATE PARTICIPATION IN INVESTMENT IN HYDROPOWER","","Energy"
"Carpet sector, Domestic service, Porters, Mining, Rag picking, Trafficking","","Other Social Infrastructure and Services"
"Education Component of Timebound Program. Grantee: World Education","","Other Social Infrastructure and Services"
"Promotion of sound forest management, provision of fuel-efficient stoves/fuel and environmental education, and support of environmental restoration projects, and similar activities intended to minimize the impact of refugees on the environment in Nepal ($","","Emergency Response"
"Microenterprise Innovation Project","","Industry"
"Contribution for Protracted Relief & Rehabilitation Operations 100.58.0 for Bhutanese Refugees in Nepal","","Emergency Response"
"Operating Expenses - USAID","","Operating Expenses"
"Global Food For Education - Commodity Value of Vegetable Oil (by 4 ltr)/Metric TonZ: 470 [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Global Food For Education - Commodity Value of Vegetable Oil (by 4 ltr)/Metric TonZ: 810 [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Global Food For Education - Freight Value of Wheat Soy Blend (by 25 kg) [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Global Food For Education - Commodity Value of Wheat Soy Blend (by 25 kg)/Metric TonZ: 880 [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Global Food For Education - Commodity Value of Wheat Soy Blend (by 25 kg)/Metric TonZ: 330 [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Global Food For Education - Commodity Value of Wheat Soy Blend (by 25 kg)/Metric TonZ: 660 [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Global Food For Education - Freight Value of Vegetable Oil (by 4 ltr) [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Global Food For Education - Commodity Value of Wheat Soy Blend (by 25 kg)/Metric TonZ: 470 [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Global Food For Education - Commodity Value of Wheat Soy Blend (by 25 kg)/Metric TonZ: 440 [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Global Food For Education - Commodity Value of Wheat Soy Blend (by 25 kg)/Metric TonZ: 370 [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Global Food For Education - Commodity Value of Vegetable Oil (by 4 ltr)/Metric TonZ: 140 [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Global Food For Education - Commodity Value of Wheat Soy Blend (by 25 kg)/Metric TonZ: 150 [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Global Food For Education - Commodity Value of Wheat Soy Blend (by 25 kg)/Metric TonZ: 90 [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Foreign National Employees Separation Liability Fund","","Operating Expenses"
"Global Food For Education - Commodity Value of Wheat Soy Blend (by 25 kg)/Metric TonZ: 50 [through UN World Food Program]","","Developmental Food Aid/Food Security Assistance"
"Desk Study - Middle Bhote Koshi Hydroelectric Power","","Energy"
"USAID Country Program (DA)","","Other Multisector"
"USAID Country Program (CSD)","","Other Multisector"
"Bonded Labor","","Other Social Infrastructure and Services"
"National Endowment for Democracy Grant - Legislatures","","Government and Civil Society"
"National Endowment for Democracy Grant - Education / Legislatures","","Government and Civil Society"
"USAID Grants","","Other Multisector"
"Peace Corps","","Other Multisector"
"Commodity Value for  Wheat, Soy Blend / Metric Tons: 1000.","","Emergency Response"
"Total Freight for  Wheat, Soy Blend / Metric Tons: 1000.","","Emergency Response"
"National Endowment for Democracy Grant - Legislatures / Women","","Government and Civil Society"
"Total Freight for  Indirect Support Costs","","Emergency Response"
"Total Freight for  Direct Support Costs","","Emergency Response"
"Commodity Value for  Wheat, Soy Blend / Approximate Number of people fed: 200000. / Metric Tons: 480.","","Developmental Food Aid/Food Security Assistance"
"Total Freight for  Wheat, Soy Blend / Approximate Number of people fed: 200000. / Metric Tons: 480.","","Developmental Food Aid/Food Security Assistance"
"Commodity Value for  Commodity Unknown, Section 202e","","Emergency Response"
"Commodity Value for  Wheat, Soy Blend / Approximate Number of people fed: 377600. / Metric Tons: 2000.","","Developmental Food Aid/Food Security Assistance"
"Total Freight for  Wheat, Soy Blend / Approximate Number of people fed: 377600. / Metric Tons: 2000.","","Developmental Food Aid/Food Security Assistance"
"Commodity Value for  Wheat, Soy Blend / Approximate Number of people fed: 90000. / Metric Tons: 1000.","","Emergency Response"
"Commodity Value for  Wheat, Soy Blend / Metric Tons: 950.","","Emergency Response"
"Total Freight for  Wheat, Soy Blend / Approximate Number of people fed: 90000. / Metric Tons: 1000.","","Emergency Response"
"Total Freight for  Wheat, Soy Blend / Metric Tons: 950.","","Emergency Response"
"Commercial sexual exploitation, Trafficking","","Other Social Infrastructure and Services"
"Commodity Value for  Wheat, Soy Blend / Approximate Number of people fed: 377600. / Metric Tons: 500.","","Developmental Food Aid/Food Security Assistance"
"Commodity Value for  Wheat, Soy Blend / Metric Tons: 350.","","Emergency Response"
"Total Freight for  Wheat, Soy Blend / Approximate Number of people fed: 377600. / Metric Tons: 500.","","Developmental Food Aid/Food Security Assistance"
"National Endowment for Democracy Grant - Labor","","Other Social Infrastructure and Services"
"Total Freight for  Wheat, Soy Blend / Metric Tons: 350.","","Emergency Response"
"National Endowment for Democracy Grant - Elections / Political Parties","","Government and Civil Society"
"DOD - Military Assistance Program (MAP)","","Conflict, Peace, and Security"
"Commodity Value for  Wheat, Soy Blend / Metric Tons: 590.","","Developmental Food Aid/Food Security Assistance"
"Total Freight for  Wheat, Soy Blend / Metric Tons: 590.","","Developmental Food Aid/Food Security Assistance"
"Commodity Value for  Wheat, Soy Blend / Approximate Number of people fed: 65000. / Metric Tons: 178.","","Emergency Response"
"Total Freight for  Wheat, Soy Blend / Approximate Number of people fed: 65000. / Metric Tons: 178.","","Emergency Response"
"Commodity Value for  Wheat, Soy Blend / Approximate Number of people fed: 144700. / Metric Tons: 1800.","","Developmental Food Aid/Food Security Assistance"
"Total Freight for  Wheat, Soy Blend / Approximate Number of people fed: 144700. / Metric Tons: 1800.","","Developmental Food Aid/Food Security Assistance"
"Commodity Value for  Wheat, Soy Blend / Approximate Number of people fed: 10000. / Metric Tons: 40.","","Emergency Response"
"Total Freight for  Wheat, Soy Blend / Approximate Number of people fed: 10000. / Metric Tons: 40.","","Emergency Response"
"National Endowment for Democracy Grant - Labor / Rule of Law","","Government and Civil Society"
"Section 416(b) Regular","","Other Multisector"
"Title II Emergency Programs","","Other Multisector"
"National Endowment for Democracy Grant - Human Rights","","Government and Civil Society"
"Military Assistance Program (MAP)","","Other Multisector"
"USAID Loans","","Other Multisector"
"Title I Food for Peace Grants (LCU)","","Other Multisector"
"Int'l Military Education & Training","","Other Multisector"
"Title II Development Programs","","Other Multisector"
"Title I Food For Peace Loans (LCU)","","Other Multisector"
