Name of the Project,Link to the project,Procurement Details,Link to the Procurement,Date of Publishment
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,"The Monitoring & Evaluation expert will be hired for 4 months over the project period (until November 15, 2020) as an intermittent basis.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104639,"November 10, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,"The Financial Management expert will be hired directly for 2 months over the project period of 8 months (until November 15, 2020) as an intermittent basis under SSS method.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104646,"November 10, 2020"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"Procurement of IT Infrastructure Enhancement (Memory upgrade in server, NAS, system monitoring PDAs)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104657,"November 10, 2020"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Construction of Livestock Market- 2 Slices (Morang and Rupandehi),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104662,"November 10, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,DOHS has planned to procure 200 set of oxygen concentrator to supply the different hospitals of the country. DOHS has planned for national bidding for the procurement.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104679,"November 10, 2020"
Second Bridges Improvement and Maintenance Program - P161929,http://projects.worldbank.org/en/projects-operations/project-detail/P161929,Selection of  consultant for bridge design check and bridge design review and training  to new Engineers.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104442,"November 9, 2020"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Program Management Consultant for Periodic Maintenance,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104450,"November 9, 2020"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"Procurement of IT Infrastructure Enhancement (Memory upgrade in server, NAS, system monitoring PDAs)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104462,"November 9, 2020"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Procurement of 50 laptops and 40 printers to use National Audit Management System (NAMS) by auditors during execution  of audit works.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104332,"November 8, 2020"
Nepal-India Electricity Transmission and Trade Project - P115767,http://projects.worldbank.org/en/projects-operations/project-detail/P115767,"Procurement of Plant Design, Supply and Installation of Power Transformer and Reactor for Hetauda and Inaruwa Substations",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104333,"November 8, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"For procurement of PPE and other items such as Bouffant cap, Mask (N-95, Surgicals) gloves, gown (Reusables and Disposable), face shield, goggles, body bag, bio hazard bag, NaDcc",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104114,"November 6, 2020"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Financial Management Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104164,"November 6, 2020"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,"Procurement of hiring vehicles for conducting field work, monitoring and supervision",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00103907,"November 5, 2020"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"To procure consultancy for enhancing  audit quality management ,	strengthen Performance audit function and citizen participatory audit (CPA) and enhancing the sustainable use of IT tools for audit management system in office of the Auditor General Nepal",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00103924,"November 5, 2020"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Procurement of 50 laptops and 40 printers to use National Audit Management System (NAMS) by auditors during execution  of audit works.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00104103,"November 5, 2020"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Interaction with economic journalist regarding PFM .,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00103753,"November 4, 2020"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Training Need Assessment and Roadmap development for PFM capacity building of GoN staffs.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00103766,"November 4, 2020"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Tuition and logistic costs for ACCA course.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00103775,"November 4, 2020"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Production and broadcasting of the awareness-raising programs on PFM issues through Media.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00103605,"November 3, 2020"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Conduct training for social audit at SNG levels.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00103612,"November 3, 2020"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Reconstruction and maintenance of office rooms,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00103418,"October 31, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Laboratory items for the COVID-19.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00103381,"October 30, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"To meet urgent testing demand from different parts of the country,after analyzing the current market for the best value for money, DOHS has decided to procure 300,000 units of VTM from Hamro Medi Concern to meet the urgent requirements.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102213,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Recently, huge demand are arising from different province. Our stock will not be sufficient to meet the current demand. So we are planning to procure 75,000 unit of Viral Transport Media (VTM) from ""Janamukti Health Enterprises, Tripureshwor, Kathmandu""",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102263,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of RT PCR Reagent Kits and RNA Extraction Reagent from UNOPS,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102268,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of IT equipment- Computer, Printer and accessories to upgrade and improve billing system in NPHL. Direct Purchase as per PPA will be applied from standing list  to select the vendor for  this urgent need.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102337,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of IT equipment- Computer, Printer and accessories to upgrade and improve billing system in NPHL. Direct Purchase as per PPA will be applied from standing list  to select the vendor for  this urgent need.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102338,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Office Make Ready Work at PIU (Furniture and  Furnishing, Electricity-Cabling, Networking and all complete office work)- Area- 1000 Sq.ft. estimated. Ama Engineering and Construction Pvt.ltd. was selected from the standing list for their past performance.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102378,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Furniture and fixtures in billing premises of NPHL.This Procurement will be carried out direct approaching at least 3 vendors to quote the price as per PPA.  The potential vendors are SB Traders and Suppliers, Karya Binayak suppliers and Sanskriti trader.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102379,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Furniture and fixtures in billing premises of NPHL.This Procurement will be carried out direct approaching at least 3 vendors to quote the price as per PPA.  The potential vendors are SB Traders and Suppliers, Karya Binayak suppliers and Sanskriti trader.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102380,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,COVID 19 Reporting system Software for integrated information lab information system on COVID test cases. MS Mavorion System Pvt. Ltd selected from standing list quotation for best price offer and  approved specification. At least 3 suppliers approached.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102381,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Accomplishment of BSL-3 Remaining work as per estimates and design recommended by WHO consultant at NPHL. To meet the urgent need of the NPHL, the Request for Quotation published in national daily for best value and price.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102392,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Maintenance and Construction of Negative Pressure Room in NPHL Lab to prevent the  communicable disease flow from Laboratory. To meet the urgent need of the NPHL, the Request for Quotation published in national daily  for best value and price.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102393,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of RT PCR Reagaent, RNA Extraction Kit and VTM.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102652,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of RT PCR Reagaent, RNA Extraction Kit and VTM.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102653,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of ICU Consumables for COVID 19 Emergency Response,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102758,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of ICU Consumables for COVID 19 Emergency Response,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102759,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of ICU Consumables for COVID 19 Emergency Response,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102760,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of ICU Consumables for COVID 19 Emergency Response,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102761,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Drugs for COVID-19,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102765,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of PPE Set and Others for COVID-19 Control and Management.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102779,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of PPE Set and Others for COVID-19 Control and Management.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102780,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of PPE Set and Others for COVID-19 Control and Management.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102781,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of different items for COVID-19 Control, Prevention and  Management.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102830,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of different items for COVID-19 Control, Prevention and  Management.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102831,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of different items for COVID-19 Control, Prevention and  Management.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102832,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of ICU and other equipment  for COVID-19 Response.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102833,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of ICU and other equipment  for COVID-19 Response.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102834,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of ICU and other equipment  for COVID-19 Response.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102835,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of ICU and other equipment  for COVID-19 Response.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102836,"October 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of ICU and other equipment  for COVID-19 Response.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00102837,"October 29, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,Baloon Filling Unit and spare part of Hydrogen generator for Radiosonde.(B.1.11),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00101759,"October 27, 2020"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of Motorcycles and Scooters for PMU and PCUs (No. 20),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00101156,"October 22, 2020"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Improvement of Nagdhunga - Naubise - Mugling Road and Bridges [CH: 0+000 Km to CH: 43+540 Km, Prithivi Highway]",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00100885,"October 21, 2020"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Improvement of Nagdhunga - Naubise - Mugling Road and Bridges [CH: 0+000 Km to CH: 12+260 Km, Tribhuban Highway]",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00100886,"October 21, 2020"
Second Bridges Improvement and Maintenance Program - P161929,http://projects.worldbank.org/en/projects-operations/project-detail/P161929,Procurement of Bridge Design Software(MIDAS).,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00100898,"October 21, 2020"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of Cold Room/Refrigerators for Municipality, Veterinary Hospital and Livestock Service Expert Centers",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00100742,"October 20, 2020"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,Advisory Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00100468,"October 18, 2020"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,Participatory Irrigation Management Expert,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00100472,"October 18, 2020"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,WUA Development Expert,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00100473,"October 18, 2020"
Nepal: Power Sector Reform and Sustainable Hydropower Development (PSRSHD) - P150066,http://projects.worldbank.org/en/projects-operations/project-detail/P150066,"Contract Administration Specialist/ Project
Management Expert (PME)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00100219,"October 16, 2020"
Second Bridges Improvement and Maintenance Program - P161929,http://projects.worldbank.org/en/projects-operations/project-detail/P161929,Consulting Service for ESMF  Update.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00100220,"October 16, 2020"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of Milk Analyzer for Cooperatives,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00100242,"October 16, 2020"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of  (i) Veterinary Hematology Analyzer (ii)  Veterinary Biochemistry Analyzer (iii) Color doppler Ultrasound Machine (iv) Digital X ray Machine (v) Fully Automatic Bomb Calorimeter (vi) DUMAS (vii) Ear Tags- 7 Slices,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00100245,"October 16, 2020"
Nepal: Power Sector Reform and Sustainable Hydropower Development (PSRSHD) - P150066,http://projects.worldbank.org/en/projects-operations/project-detail/P150066,GLOF Expert,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00099783,"October 14, 2020"
Nepal: Power Sector Reform and Sustainable Hydropower Development (PSRSHD) - P150066,http://projects.worldbank.org/en/projects-operations/project-detail/P150066,Electro Mechanical Engineer,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00099784,"October 14, 2020"
Nepal: Power Sector Reform and Sustainable Hydropower Development (PSRSHD) - P150066,http://projects.worldbank.org/en/projects-operations/project-detail/P150066,Cost and Schedule Engineer,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00099786,"October 14, 2020"
Nepal: Power Sector Reform and Sustainable Hydropower Development (PSRSHD) - P150066,http://projects.worldbank.org/en/projects-operations/project-detail/P150066,Environment Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00099787,"October 14, 2020"
Nepal: Power Sector Reform and Sustainable Hydropower Development (PSRSHD) - P150066,http://projects.worldbank.org/en/projects-operations/project-detail/P150066,Social Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00099788,"October 14, 2020"
Nepal: Power Sector Reform and Sustainable Hydropower Development (PSRSHD) - P150066,http://projects.worldbank.org/en/projects-operations/project-detail/P150066,FPIC Expert,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00099789,"October 14, 2020"
NP Rural Water Supply and Sanitation Improvement Project - P143036,http://projects.worldbank.org/en/projects-operations/project-detail/P143036,"Broadcast Jingles in  radio, local TV  in Nepali languages for mass awareness in the community for  prevention of Covid-19",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00099586,"October 13, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of IT equipment- Computer, Printer and accessories to upgrade and improve billing system in NPHL. Direct Purchase as per PPA will be applied from standing list  to select the vendor for  this urgent need.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00099292,"October 11, 2020"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Consulting Service for Construction Supervision of Improvement/Widening of Nagdhunga - Naubise - Mugling Road and Bridges,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00094650,"October 9, 2020"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Junior Vocational Training Assistant -1 no. (12 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00098491,"October 6, 2020"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of RT- PCR Machine- 5 Numbers for VSDRL,NVPL,FMD/TADS, CVL, Kathamndu and RVL Surkhet)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00098492,"October 6, 2020"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Vocational Training Assistant -1 no. (12 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00098547,"October 6, 2020"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Financial Management Assistant- 1 no. (12 months),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00098548,"October 6, 2020"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of Frozen Semen Straw Counting Machine for NLBO, Pokhara",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00097966,"September 30, 2020"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of FMD Vaccine,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00097816,"September 29, 2020"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of financial management consultant for 5 years,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00097859,"September 29, 2020"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,Command Area Protection Works of Pathariya River,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00097910,"September 29, 2020"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Procurement Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00097705,"September 28, 2020"
NP Rural Water Supply and Sanitation Improvement Project - P143036,http://projects.worldbank.org/en/projects-operations/project-detail/P143036,"Piloting of Water Treatment Plant in Manahara WS (Supply & Delivery, Installation, Construction, Testing, Commissioning & Operating all complete)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00097724,"September 28, 2020"
NP Rural Water Supply and Sanitation Improvement Project - P143036,http://projects.worldbank.org/en/projects-operations/project-detail/P143036,"Piloting of Water Treatment Plant in Pikhel WS (Supply & Dlivery, Installation, Construction, Testing, Commissioning & Operating all complete)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00097725,"September 28, 2020"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of motorcycles (14 Nos) for PMU and PCUs,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00097013,"September 21, 2020"
Nepal-India Regional Trade And Transport Project - P144335,http://projects.worldbank.org/en/projects-operations/project-detail/P144335,Landslide  Improvement work in Improvement of Narayanghat Mugling Road,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00097020,"September 21, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"To maintain the continuous supply of testing reagent through out the country, analyzing the market for the best value for money, DOHS has decided to procure the 300,000 RT PCR Reagent kit and 50,000 RNA Extraction Reagent (manual) from Fair Trade Pvt Ltd",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00097025,"September 21, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,Obtaining service for the development of Video Documentary on the impact to farmers from the project,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00096950,"September 20, 2020"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of Desktop computer- 20 Nos, Laptop-15 and Printer-20 and Photocopy Machine-2",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00096759,"September 17, 2020"
Sustainable Tourism Enhancement of Nepal’s Protected Areas (STENPA) - P165130,http://projects.worldbank.org/en/projects-operations/project-detail/P165130,Sustainable Tourism Enhancement of Nepal’s Protected Areas (STENPA),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00096586,"September 15, 2020"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,"Study of Emissions due to Forest Fire, Grazing, Fulewood Collection, and Timber Harvesting and Removals from Sustainable Management of Forests and Forest Restoration, and Prepare Nepal’s Revised Forest Reference Level",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00096502,"September 14, 2020"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Baseline Study of Forest for Prosperity Project,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00096503,"September 14, 2020"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Preparation of Sustainable Forest Management Plan of Community Forests (25),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00096505,"September 14, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of Rapid Diagnostic Test Kits for COVID-19 ( 100,000 kits)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00096523,"September 14, 2020"
Nepal-India Regional Trade And Transport Project - P144335,http://projects.worldbank.org/en/projects-operations/project-detail/P144335,Quality Assurance and Advisory Services for Implementation of Nepal National Single Window System & NTIP Extension work (TEPC),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00096345,"September 10, 2020"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Allometric Equation of major species,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00096145,"September 8, 2020"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,Hiring of Procurement Specialist for short period (Below six months)  C.3,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00095502,"August 30, 2020"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Procurement of Laptops for PIU (15 Laptops),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00094229,"August 12, 2020"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Consulting Service for Detailed Design and Technical Support Consultant for Research and Training Centre at Gajuri,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00094112,"August 11, 2020"
